#Organism Group	Strain	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	Host	AMR genotypes core	BioSample	K-mer group	Scientific name	Assembly	AST phenotypes	Host Disease	Virulence genotypes	Collection Date	Stress genotypes	Collected by	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Lat/Lon	N50	Contigs	Length	Library Layout	Platform	Run	SRA Center	SRA Release Date	Species TaxID	Outbreak	Level	AMR genotypes	Method	PFGE Primary Enzyme Pattern	PFGE Secondary Enzyme Pattern	TaxID	WGS Prefix	WGS Accession
E.coli and Shigella			PDT000131782.2	2016-05-23T22:13:33Z	Denmark		environmental/other				Bos primigenius	ampC_C-42T=POINT,blaEC=COMPLETE	SAMEA3993601	PDG000000004.2285	Escherichia coli	GCA_012682045.1			cdtB=COMPLETE,espX1=COMPLETE,f17g=COMPLETE,fdeC=COMPLETE,iucA=COMPLETE,iutA=COMPLETE,lpfA=COMPLETE,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	2014	ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		157248	92	5049672	PAIRED	ILLUMINA	ERR1417747	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,mdtM=COMPLETE	SKESA v. 2.2			562	DABCIP	DABCIP000000000.1
E.coli and Shigella			PDT000131783.2	2016-05-23T22:13:33Z	Denmark		environmental/other				Bos primigenius	aadA1=COMPLETE,ampC_C-42T=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,dfrA1=COMPLETE,mph(B)=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	SAMEA3993602	PDG000000004.2285	Escherichia coli	GCA_012682065.1			espX1=COMPLETE,f17g=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,lpfA=COMPLETE,sslE=HMM	2014	merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,qacEdelta1=COMPLETE,ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		141052	150	5306293	PAIRED	ILLUMINA	ERR1417748	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	aadA1=COMPLETE,acrF=COMPLETE,ampC_C-42T=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,dfrA1=COMPLETE,mdtM=COMPLETE,mph(B)=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			562	DABCIO	DABCIO000000000.1
E.coli and Shigella			PDT000131785.2	2016-05-23T22:13:33Z	Denmark		environmental/other				Bos primigenius	aadA1=COMPLETE,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,dfrA1=COMPLETE,sul1=COMPLETE	SAMEA3993604	PDG000000004.2285	Escherichia coli	GCA_012682005.1			espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,lpfA=COMPLETE,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	2014	qacEdelta1=COMPLETE,ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		228138	61	4905722	PAIRED	ILLUMINA	ERR1417750	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	aadA1=COMPLETE,acrF=COMPLETE,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,dfrA1=COMPLETE,mdtM=COMPLETE,sul1=COMPLETE	SKESA v. 2.2			562	DABCIN	DABCIN000000000.1
E.coli and Shigella	SC_F25_1		PDT000289915.1	2018-02-25T22:27:34Z	China: Sichuan		environmental/other	PDS000018886.1	14		cows	aac(3)-IId=COMPLETE,aadA2=COMPLETE,aph(3')-Ia=COMPLETE,blaCTX-M-55=COMPLETE,blaEC=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,floR=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mcr-1.1=COMPLETE,mph(A)=COMPLETE,nfsA_R203C=POINT,parC_S80I=POINT,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	SAMN08469972	PDG000000004.2285	Escherichia coli	GCA_002942445.1			espX1=PARTIAL	2017-08-18	ymgB=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA433057		77531	211	4753575						562		Contig	aac(3)-IId=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaCTX-M-55=COMPLETE,blaEC=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,floR=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mcr-1.1=COMPLETE,mdtM=COMPLETE,mph(A)=COMPLETE,nfsA_R203C=POINT,parC_S80I=POINT,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.10.19			562	PTNU	PTNU00000000.1
E.coli and Shigella	SC_F24_1		PDT000289917.1	2018-02-25T22:29:39Z	China: Sichuan		environmental/other	PDS000018886.1	14		cows	aac(3)-IId=COMPLETE,aadA2=COMPLETE,aph(3')-Ia=COMPLETE,blaCTX-M-55=COMPLETE,blaEC=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,floR=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mcr-1.1=COMPLETE,mph(A)=COMPLETE,nfsA_R203C=POINT,parC_S80I=POINT,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	SAMN08469967	PDG000000004.2285	Escherichia coli	GCA_002942485.1			espX1=PARTIAL	2017-08-13	ymgB=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA433057		76379	196	4754727						562		Contig	aac(3)-IId=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaCTX-M-55=COMPLETE,blaEC=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,floR=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mcr-1.1=COMPLETE,mdtM=COMPLETE,mph(A)=COMPLETE,nfsA_R203C=POINT,parC_S80I=POINT,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.10.14			562	PTNZ	PTNZ00000000.1
E.coli and Shigella	JL_F4_1		PDT000289916.1	2018-02-25T22:28:47Z	China: Jilin		environmental/other				cows	aph(3')-IIa=COMPLETE,blaCTX-M-65=COMPLETE,blaEC=COMPLETE,ble=PARTIAL,dfrA14=COMPLETE,mcr-1.1=COMPLETE,qnrS1=COMPLETE,tet(A)=COMPLETE	SAMN08469971	PDG000000004.2285	Escherichia coli	GCA_002942465.1			espX1=COMPLETE,fdeC=COMPLETE,lpfA1=COMPLETE,lpfA=COMPLETE,sslE=HMM	2017-08-17	emrE=COMPLETE,ymgB=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA433057		438921	92	4821438						562		Contig	acrF=COMPLETE,aph(3')-IIa=COMPLETE,blaCTX-M-65=COMPLETE,blaEC=COMPLETE,ble=PARTIAL,dfrA14=COMPLETE,mcr-1.1=COMPLETE,mdtM=COMPLETE,qnrS1=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.10.18			562	PTNV	PTNV00000000.1
E.coli and Shigella	SC_F13_2		PDT000289918.1	2018-02-25T22:29:56Z	China: Sichuan		environmental/other				cows	aadA2=PARTIAL,aadA5=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,bleO=COMPLETE,dfrA12=COMPLETE,dfrA17=COMPLETE,fosA3=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	SAMN08469965	PDG000000004.2285	Escherichia coli	GCA_002942505.1			fdeC=MISTRANSLATION,sslE=HMM	2017-08-11	qacE=PARTIAL,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE,ymgB=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA433057		164780	97	4920258						562		Contig	aadA2=PARTIAL,aadA5=COMPLETE,acrF=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,bleO=COMPLETE,dfrA12=COMPLETE,dfrA17=COMPLETE,fosA3=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.10.12			562	PTOB	PTOB00000000.1
E.coli and Shigella	SC_F11_1		PDT000289919.1	2018-02-25T22:31:39Z	China: Sichuan		environmental/other				cows	aac(3)-IId=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,floR=COMPLETE,fosA3=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	SAMN08469964	PDG000000004.2285	Escherichia coli	GCA_002942525.1			astA=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,lpfA=COMPLETE,sslE=HMM	2017-08-10	qacEdelta1=COMPLETE,ymgB=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA433057		216347	102	5097692						562		Contig	aac(3)-IId=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,floR=COMPLETE,fosA3=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	SPAdes v. 3.10.11			562	PTOC	PTOC00000000.1
E.coli and Shigella	QH_F1_1		PDT000289920.1	2018-02-25T22:32:46Z	China: Qinghai		environmental/other				cows	blaCTX-M-14=COMPLETE,blaEC=COMPLETE,tet(A)=COMPLETE	SAMN08469962	PDG000000004.2285	Escherichia coli	GCA_002942545.1			espX1=COMPLETE,fdeC=COMPLETE	2017-08-08	emrE=COMPLETE,ymgB=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA433057		170918	78	4767825						562		Contig	acrF=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.10.9			562	PTOE	PTOE00000000.1
E.coli and Shigella	NX_F9_1		PDT000289921.1	2018-02-25T22:33:41Z	China: Ningxia		environmental/other				cows	aac(3)-IId=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-55=COMPLETE,blaEC=COMPLETE,blaTEM=PARTIAL,catA1=COMPLETE,dfrA12=COMPLETE,fosA3=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_A56T=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	SAMN08469961	PDG000000004.2285	Escherichia coli	GCA_002942565.1			cvaC=PARTIAL,espX1=COMPLETE,fdeC=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iutA=COMPLETE	2017-08-07	merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,qacEdelta1=COMPLETE,ymgB=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA433057		140494	91	4946153						562		Contig	aac(3)-IId=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-55=COMPLETE,blaEC=COMPLETE,blaTEM=PARTIAL,catA1=COMPLETE,dfrA12=COMPLETE,fosA3=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_A56T=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.10.8			562	PTOF	PTOF00000000.1
E.coli and Shigella	NX_F6_1		PDT000289922.1	2018-02-25T22:34:34Z	China: Ningxia		environmental/other				cows	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaLAP-2=COMPLETE,dfrA14=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(C)=COMPLETE	SAMN08469960	PDG000000004.2285	Escherichia coli	GCA_002942585.1			astA=COMPLETE,cdtB=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,sslE=HMM	2017-08-06	emrE=COMPLETE,ymgB=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA433057		210586	122	5093322						562		Contig	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaLAP-2=COMPLETE,dfrA14=COMPLETE,mdtM=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(C)=COMPLETE	SPAdes v. 3.10.7			562	PTOG	PTOG00000000.1
E.coli and Shigella	LN_F20_1		PDT000289923.1	2018-02-25T22:37:13Z	China: Liaoning		environmental/other				cows	aac(3)-IVa=COMPLETE,aph(4)-Ia=PARTIAL,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,bleO=PARTIAL,dfrA17=COMPLETE,floR=COMPLETE,fosA3=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	SAMN08469959	PDG000000004.2285	Escherichia coli	GCA_002942605.1			astA=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iutA=COMPLETE,lpfA=COMPLETE,sslE=HMM	2017-08-05	emrE=COMPLETE,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,ymgB=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA433057		193425	117	5050179						562		Contig	aac(3)-IVa=COMPLETE,acrF=COMPLETE,aph(4)-Ia=PARTIAL,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,bleO=PARTIAL,dfrA17=COMPLETE,floR=COMPLETE,fosA3=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.10.6			562	PTOH	PTOH00000000.1
E.coli and Shigella	LN_F1_1		PDT000289924.1	2018-02-25T22:38:51Z	China: Liaoning		environmental/other				cows	aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,bleO=COMPLETE,dfrA14=COMPLETE,dfrA17=COMPLETE,floR=COMPLETE,fosA3=COMPLETE,qnrS1=COMPLETE,qnrS2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	SAMN08469958	PDG000000004.2285	Escherichia coli	GCA_002942625.1			espX1=PARTIAL,fdeC=PARTIAL,sslE=HMM	2017-08-04	emrE=COMPLETE,ymgB=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA433057		69710	325	5030387						562		Contig	aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,bleO=COMPLETE,dfrA14=COMPLETE,dfrA17=COMPLETE,floR=COMPLETE,fosA3=COMPLETE,mdtM=COMPLETE,qnrS1=COMPLETE,qnrS2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.10.5			562	PTOI	PTOI00000000.1
